epoch,accuracy,iou,learning_rate,loss,precision,recall,soft_dice,soft_iou,val_accuracy,val_iou,val_loss,val_precision,val_recall,val_soft_dice,val_soft_iou
0,0.8737578988075256,0.20444919168949127,9.999999747378752e-05,1.437174677848816,0.3699001371860504,0.25456151366233826,0.237800732254982,0.13743406534194946,0.9214289784431458,0.0,1.545763373374939,0.0,0.0,0.11625358462333679,0.062226392328739166
1,0.8808246850967407,0.25799310207366943,9.999999747378752e-05,1.3071532249450684,0.4536033868789673,0.3208507001399994,0.2821863889694214,0.1670016199350357,0.9214289784431458,0.0,1.4469105005264282,0.0,0.0,0.10484760999679565,0.05562730133533478
2,0.884878933429718,0.27741774916648865,9.999999747378752e-05,1.252427577972412,0.48514455556869507,0.34843650460243225,0.3092806339263916,0.18629339337348938,0.9164305329322815,0.0186321921646595,1.439574122428894,0.14187924563884735,0.012518376111984253,0.1038094162940979,0.055180877447128296
3,0.8848970532417297,0.28907471895217896,9.999999747378752e-05,1.2200144529342651,0.4831045866012573,0.37267395853996277,0.32719314098358154,0.19923743605613708,0.897434413433075,0.06215161457657814,1.3995858430862427,0.1652153730392456,0.07468883693218231,0.14169785380363464,0.07730978727340698
4,0.8879606127738953,0.30226320028305054,9.999999747378752e-05,1.1872847080230713,0.5046494007110596,0.39873579144477844,0.3452116549015045,0.21257956326007843,0.9027314782142639,0.22688297927379608,1.2395888566970825,0.37523573637008667,0.3412044048309326,0.2665201425552368,0.1570328176021576
5,0.8912591934204102,0.31525683403015137,9.999999747378752e-05,1.1538572311401367,0.5208361744880676,0.4141112267971039,0.3651687502861023,0.22755949199199677,0.9259836077690125,0.22810965776443481,1.191402792930603,0.5920822620391846,0.20186124742031097,0.2588527500629425,0.15118944644927979
6,0.8932391405105591,0.3293835520744324,9.999999747378752e-05,1.1293226480484009,0.5429180860519409,0.4223003089427948,0.38180267810821533,0.24032387137413025,0.920979917049408,0.2749921679496765,1.1687426567077637,0.5028488636016846,0.333356648683548,0.2872661054134369,0.17202715575695038
7,0.8996956944465637,0.34671178460121155,9.999999747378752e-05,1.09688401222229,0.5719287991523743,0.44376474618911743,0.4005592167377472,0.25542712211608887,0.9053961038589478,0.30296462774276733,1.132283329963684,0.42729905247688293,0.5456039309501648,0.34867602586746216,0.2163356989622116
8,0.9035428166389465,0.36305999755859375,9.999999747378752e-05,1.0694011449813843,0.5970083475112915,0.46199503540992737,0.4180620312690735,0.2708030343055725,0.9234762787818909,0.05524872615933418,1.2748534679412842,0.9214708805084229,0.028713030740618706,0.16922836005687714,0.0941888615489006
9,0.907863438129425,0.38359442353248596,9.999999747378752e-05,1.0289194583892822,0.620114803314209,0.48159417510032654,0.4442898631095886,0.2917502820491791,0.9331390261650085,0.312589555978775,1.058375597000122,0.6501381397247314,0.3450729548931122,0.3635999262332916,0.22893817722797394
10,0.905191957950592,0.3816463053226471,9.999999747378752e-05,1.0254195928573608,0.6099728941917419,0.48350605368614197,0.449633926153183,0.29671064019203186,0.9275990128517151,0.12191484123468399,1.2434319257736206,0.8511760830879211,0.09775441884994507,0.19917309284210205,0.11401102691888809
11,0.9103023409843445,0.4018966555595398,9.999999747378752e-05,0.9880240559577942,0.6422166228294373,0.5017896294593811,0.47433778643608093,0.3170927166938782,0.9341841340065002,0.24089393019676208,1.108731985092163,0.8091999292373657,0.2183375060558319,0.30550462007522583,0.18709425628185272
12,0.9103795289993286,0.40349993109703064,9.999999747378752e-05,0.9796651005744934,0.6338070034980774,0.5071662664413452,0.48074764013290405,0.32224029302597046,0.9428533911705017,0.41042670607566833,0.9584844708442688,0.7131269574165344,0.47823071479797363,0.4374995529651642,0.28800201416015625
13,0.9178876280784607,0.42770591378211975,9.999999747378752e-05,0.9414098262786865,0.6829068064689636,0.5179699659347534,0.505162239074707,0.3443049192428589,0.9327157735824585,0.2226293534040451,1.1301357746124268,0.7703793048858643,0.21172291040420532,0.30075788497924805,0.18485000729560852
14,0.917891263961792,0.43921133875846863,9.999999747378752e-05,0.9227843284606934,0.6685069799423218,0.5455228090286255,0.5174861550331116,0.3565100431442261,0.9441266059875488,0.37447014451026917,0.9692255258560181,0.8696863055229187,0.34756848216056824,0.41026821732521057,0.2680627703666687
15,0.9180059432983398,0.4409647583961487,9.999999747378752e-05,0.9180231094360352,0.671669065952301,0.5472437143325806,0.5233858823776245,0.36216461658477783,0.9386782646179199,0.3105795979499817,1.0304646492004395,0.8000257611274719,0.3018956184387207,0.3723999857902527,0.23719295859336853
16,0.9224395751953125,0.4584938585758209,9.999999747378752e-05,0.8873825073242188,0.7065736055374146,0.5505787134170532,0.5436901450157166,0.3806048631668091,0.923859715461731,0.037913382053375244,1.3830527067184448,0.9969563484191895,0.03116970881819725,0.10354898124933243,0.057999543845653534
17,0.9243420362472534,0.47323790192604065,9.999999747378752e-05,0.8611966371536255,0.7193361520767212,0.5650634765625,0.5608835816383362,0.3966703712940216,0.9379260540008545,0.25823891162872314,1.0430854558944702,0.9199743866920471,0.2341068536043167,0.3595257103443146,0.22948215901851654
18,0.9276641607284546,0.49194419384002686,9.999999747378752e-06,0.8334435224533081,0.7314435839653015,0.5860366225242615,0.5831580758094788,0.41893574595451355,0.9487705826759338,0.4851984977722168,0.8145297765731812,0.7320171594619751,0.5748956799507141,0.5442447066307068,0.3825331926345825
19,0.9330114126205444,0.5242867469787598,9.999999747378752e-06,0.7946130037307739,0.7674146294593811,0.607818603515625,0.6055784225463867,0.4412272870540619,0.9517208933830261,0.5111653208732605,0.7914531230926514,0.74978107213974,0.6052438616752625,0.562019407749176,0.3998449444770813
20,0.935243546962738,0.5387084484100342,9.999999747378752e-06,0.7761529684066772,0.7831261157989502,0.6188472509384155,0.6182481050491333,0.45449233055114746,0.9486120343208313,0.49681898951530457,0.8011156320571899,0.7094830274581909,0.6171000599861145,0.5579427480697632,0.39659446477890015
21,0.9374794363975525,0.5496696829795837,9.999999747378752e-06,0.7657491564750671,0.780715823173523,0.6375916600227356,0.6228392720222473,0.4603065252304077,0.9511953592300415,0.5236645936965942,0.773216187953949,0.7219647169113159,0.6470345854759216,0.5783617496490479,0.4156002402305603
22,0.9350228309631348,0.540693461894989,9.999999747378752e-06,0.7741100192070007,0.7865737080574036,0.6181898713111877,0.6223980188369751,0.4596988260746002,0.9549890160560608,0.5387231111526489,0.7595789432525635,0.7760921120643616,0.6246079802513123,0.5857566595077515,0.424297034740448
23,0.9396418333053589,0.563545823097229,9.999999747378752e-06,0.7483617067337036,0.7962742447853088,0.6417269706726074,0.6359583139419556,0.4748116135597229,0.954232931137085,0.5392874479293823,0.7555344104766846,0.755814790725708,0.642808735370636,0.5899450778961182,0.4277104139328003
24,0.9367203116416931,0.5459354519844055,9.999999747378752e-06,0.7667790651321411,0.7831300497055054,0.6283254623413086,0.6266855001449585,0.46356770396232605,0.9561225771903992,0.5437548160552979,0.7526674866676331,0.7930964231491089,0.6202325224876404,0.589057981967926,0.4276302754878998
25,0.9397917985916138,0.5661581158638,9.999999747378752e-06,0.7407309412956238,0.8013903498649597,0.6452201008796692,0.6417111158370972,0.48016735911369324,0.9548467993736267,0.5515980124473572,0.7422317266464233,0.7475854158401489,0.6702691316604614,0.6025562882423401,0.4397016167640686
26,0.9400995969772339,0.5664873719215393,9.999999747378752e-06,0.7423952221870422,0.7934131622314453,0.6487836837768555,0.6390563249588013,0.4773508608341217,0.9577203392982483,0.5652730464935303,0.7304309010505676,0.7859523296356201,0.65903639793396,0.6070440411567688,0.4455193281173706
27,0.9410539865493774,0.5749852657318115,9.999999747378752e-06,0.7301000356674194,0.8015791177749634,0.6564885377883911,0.6499292850494385,0.48906809091567993,0.9542851448059082,0.5521630644798279,0.7371614575386047,0.7355446219444275,0.6838459372520447,0.6084878444671631,0.44567418098449707
28,0.9411059617996216,0.5778009295463562,9.999999747378752e-06,0.7303171753883362,0.7972155809402466,0.6622318625450134,0.6496049165725708,0.48914432525634766,0.9566897749900818,0.5479084849357605,0.7402990460395813,0.8000977635383606,0.6198344230651855,0.6005111932754517,0.44012510776519775
29,0.9406138062477112,0.5745331048965454,9.999999747378752e-06,0.7276413440704346,0.797505795955658,0.6563047766685486,0.6514965891838074,0.490302175283432,0.9558480978012085,0.5442063212394714,0.7450417280197144,0.7814016938209534,0.6322226524353027,0.5979158282279968,0.4369693994522095
30,0.9386621117591858,0.5679547786712646,9.999999747378752e-06,0.7381632328033447,0.7945084571838379,0.6506444811820984,0.6493942141532898,0.48750039935112,0.9552293419837952,0.5486233234405518,0.7401891946792603,0.7643303871154785,0.6481066346168518,0.6035488247871399,0.44186705350875854
31,0.9441882371902466,0.5949961543083191,9.999999747378752e-06,0.711010754108429,0.8152616024017334,0.6713835000991821,0.661903977394104,0.502906858921051,0.9573521614074707,0.5629478096961975,0.7253055572509766,0.7831250429153442,0.6568496823310852,0.6125621199607849,0.451297402381897
32,0.9399971961975098,0.5754844546318054,9.999999747378752e-06,0.7327309846878052,0.801607072353363,0.6560602188110352,0.6524123549461365,0.4919807016849518,0.9567558169364929,0.5582913756370544,0.7286098599433899,0.77423495054245,0.6595258116722107,0.6107058525085449,0.450308620929718
33,0.944049596786499,0.5948464870452881,9.999999747378752e-06,0.7085880637168884,0.8059149384498596,0.6800245046615601,0.6635699272155762,0.5063664317131042,0.9547149538993835,0.5514964461326599,0.729769766330719,0.7453687787055969,0.6734929084777832,0.6136953234672546,0.4514004588127136
34,0.9442873597145081,0.5998058319091797,9.999999747378752e-06,0.7040213942527771,0.8128094673156738,0.681554913520813,0.667686402797699,0.5106233954429626,0.9549899101257324,0.5577124953269958,0.7239816784858704,0.736902117729187,0.6968944668769836,0.62088543176651,0.45916038751602173
35,0.9423201680183411,0.5893452167510986,9.999999747378752e-06,0.7133637070655823,0.8004598617553711,0.675504207611084,0.6630370616912842,0.5043143033981323,0.9582362174987793,0.5609606504440308,0.7268948554992676,0.8093900680541992,0.6342307329177856,0.6125843524932861,0.4524401128292084
36,0.9448871612548828,0.6042962670326233,9.999999747378752e-06,0.6965897679328918,0.8198314309120178,0.6812189221382141,0.6736348867416382,0.5174468159675598,0.9565303325653076,0.5609161853790283,0.7201629877090454,0.7678338885307312,0.6684300303459167,0.6226439476013184,0.4624476730823517
37,0.9444578886032104,0.6021860241889954,9.999999747378752e-06,0.6920889616012573,0.8212956190109253,0.6782578825950623,0.6774576306343079,0.5191243886947632,0.9573054313659668,0.5584434866905212,0.7234809994697571,0.7901483774185181,0.6458150148391724,0.6167238354682922,0.45831790566444397
38,0.9443560242652893,0.599626898765564,9.999999747378752e-06,0.6984454989433289,0.8208057880401611,0.6746456623077393,0.671847939491272,0.5134308338165283,0.9564062356948853,0.5608555674552917,0.7216312885284424,0.7639367580413818,0.6720830202102661,0.6192474961280823,0.4589782655239105
39,0.9461727738380432,0.6114665865898132,9.999999747378752e-06,0.6870707273483276,0.820774495601654,0.6890031099319458,0.679794192314148,0.5226413607597351,0.9593122601509094,0.5757723450660706,0.7075405120849609,0.8066680431365967,0.657498300075531,0.6283082962036133,0.46965765953063965
40,0.9453912973403931,0.6063731908798218,9.999999747378752e-06,0.6912056803703308,0.8193713426589966,0.6854896545410156,0.6800827980041504,0.5225059986114502,0.9575192332267761,0.5661777257919312,0.7170337438583374,0.7801313400268555,0.6652606129646301,0.6252009868621826,0.46534863114356995
41,0.9479726552963257,0.6238391399383545,9.999999747378752e-06,0.6689019799232483,0.8350163102149963,0.6962381601333618,0.6915356516838074,0.5357587337493896,0.95304274559021,0.5472052097320557,0.7354193925857544,0.7156319618225098,0.7042120695114136,0.62064528465271,0.45912396907806396
42,0.9451637864112854,0.608106791973114,9.999999747378752e-06,0.6872537136077881,0.8235307335853577,0.6854097247123718,0.6829748153686523,0.526532769203186,0.9578126668930054,0.5719890594482422,0.7051129341125488,0.7749748229980469,0.6795287728309631,0.6356550455093384,0.4767228662967682
43,0.9472681283950806,0.618464469909668,9.999999747378752e-06,0.6776269674301147,0.8281988501548767,0.6930631399154663,0.687160074710846,0.5319386720657349,0.9558996558189392,0.5591458678245544,0.7169890403747559,0.7557213306427002,0.6765729784965515,0.6276237964630127,0.46593546867370605
44,0.9493486881256104,0.634412944316864,9.999999747378752e-06,0.6575563549995422,0.8369789719581604,0.7081236243247986,0.6989107131958008,0.5454785823822021,0.9591310024261475,0.5736238956451416,0.7028144001960754,0.8067192435264587,0.6531345248222351,0.6340858936309814,0.47820231318473816
45,0.952827513217926,0.6548982262611389,9.999999747378752e-06,0.6318117380142212,0.8547079563140869,0.7198301553726196,0.7147094011306763,0.5631277561187744,0.9599093794822693,0.5807431936264038,0.6956260800361633,0.8086342215538025,0.6641905903816223,0.637373149394989,0.4790548086166382
46,0.9493868350982666,0.6365516781806946,9.999999747378752e-06,0.6533151268959045,0.8372687101364136,0.7116038799285889,0.7047528028488159,0.552392303943634,0.9574121236801147,0.570134162902832,0.7051023244857788,0.7707411050796509,0.6784703731536865,0.6367362141609192,0.47941648960113525
47,0.9504563212394714,0.641171395778656,9.999999747378752e-06,0.6457245349884033,0.8450579047203064,0.7115005850791931,0.7099469900131226,0.5581715703010559,0.9548008441925049,0.5480667352676392,0.7316179871559143,0.7467195987701416,0.6723801493644714,0.6206415891647339,0.4610191285610199
48,0.9490211009979248,0.6317778825759888,9.999999747378752e-06,0.6566358208656311,0.832887589931488,0.7091074585914612,0.7039963603019714,0.551344096660614,0.9583828449249268,0.5841265320777893,0.6895594596862793,0.7622699737548828,0.7152953147888184,0.645774781703949,0.4871244728565216
49,0.9526906609535217,0.6543776392936707,9.999999747378752e-06,0.6313973665237427,0.8461084365844727,0.7286610007286072,0.7158364653587341,0.5653952360153198,0.961260199546814,0.5987505912780762,0.6743450164794922,0.8060536980628967,0.6939328908920288,0.6556003093719482,0.499059796333313
50,0.9478353261947632,0.6301305890083313,9.999999747378752e-06,0.6583578586578369,0.8406145572662354,0.6996510028839111,0.70424884557724,0.5519322752952576,0.9608239531517029,0.5913087725639343,0.6770732998847961,0.8109270930290222,0.6772662997245789,0.6534665822982788,0.49745163321495056
51,0.9531564116477966,0.6624859571456909,9.999999747378752e-06,0.6224692463874817,0.8504363298416138,0.7336753606796265,0.7230484485626221,0.5741612911224365,0.958696722984314,0.5918630361557007,0.6805223226547241,0.7560194730758667,0.7334397435188293,0.6570866107940674,0.4991615414619446
52,0.9508981704711914,0.6443747878074646,9.999999747378752e-06,0.643470048904419,0.840842604637146,0.7196539044380188,0.7118094563484192,0.5627864599227905,0.961444079875946,0.5929428339004517,0.6792823672294617,0.8293154835700989,0.6622776389122009,0.6492674946784973,0.49382150173187256
53,0.9505569338798523,0.6456989645957947,9.999999747378752e-06,0.6361681222915649,0.84718918800354,0.7156323194503784,0.7171068787574768,0.5664573907852173,0.9598870873451233,0.5952177047729492,0.6704524755477905,0.7766138911247253,0.7168916463851929,0.6612603664398193,0.505933403968811
54,0.9536209106445312,0.6628947854042053,9.999999747378752e-06,0.6170714497566223,0.8540244698524475,0.7314621806144714,0.727024257183075,0.5782211422920227,0.9616963267326355,0.5998411774635315,0.6707369089126587,0.816659152507782,0.685644268989563,0.6587750911712646,0.503653883934021
55,0.9473086595535278,0.6248764991760254,9.999999747378752e-06,0.6664666533470154,0.8243309855461121,0.7068881988525391,0.701681911945343,0.5496176481246948,0.9620568752288818,0.6037501692771912,0.6627565026283264,0.8176189064979553,0.6903148889541626,0.6656374931335449,0.5116212964057922
56,0.9509463310241699,0.6489337682723999,9.999999747378752e-06,0.6400920748710632,0.8447170853614807,0.7212778329849243,0.7128734588623047,0.5623295903205872,0.9567092657089233,0.5702257752418518,0.7036420702934265,0.7503122091293335,0.703544020652771,0.6427611708641052,0.4849119484424591
57,0.9528887271881104,0.6588930487632751,9.999999747378752e-06,0.6223190426826477,0.8552436828613281,0.728637158870697,0.7263463139533997,0.5774816274642944,0.9614132642745972,0.6006031632423401,0.670412003993988,0.8086270093917847,0.6914276480674744,0.6595333814620972,0.5061558485031128
58,0.9548331499099731,0.6706830859184265,9.999999747378752e-06,0.6071979403495789,0.8665060997009277,0.7327641248703003,0.734027087688446,0.5876518487930298,0.9629228115081787,0.6113408207893372,0.6589876413345337,0.8247228860855103,0.6943795680999756,0.6641533374786377,0.5096311569213867
59,0.9522519707679749,0.6593421697616577,9.999999747378752e-06,0.6238558888435364,0.8544305562973022,0.7279172539710999,0.7268195748329163,0.5792259573936462,0.9639761447906494,0.6212441325187683,0.643801212310791,0.8343884348869324,0.6985393762588501,0.6757938265800476,0.5228744745254517
60,0.9525644183158875,0.6564988493919373,9.999999747378752e-06,0.6233422160148621,0.8466983437538147,0.7295857071876526,0.7276062369346619,0.5810062885284424,0.9629612565040588,0.6188668608665466,0.6437869071960449,0.8099419474601746,0.7164779901504517,0.6794648766517639,0.5276511311531067
61,0.95405513048172,0.6709638833999634,9.999999747378752e-06,0.6080496311187744,0.8601132035255432,0.7391675710678101,0.7353259325027466,0.5873093605041504,0.9621089100837708,0.6088480949401855,0.6553269028663635,0.8106843829154968,0.7002542018890381,0.6731804609298706,0.519153356552124
62,0.9530318379402161,0.6619499921798706,9.999999747378752e-06,0.619705855846405,0.8515781760215759,0.7341538667678833,0.7285938262939453,0.580223798751831,0.9638835191726685,0.6164019703865051,0.6527643799781799,0.84332674741745,0.6845741868019104,0.6711320281028748,0.5194891691207886
63,0.9542818665504456,0.6727675795555115,9.999999747378752e-06,0.606024444103241,0.8595760464668274,0.739297091960907,0.7365809082984924,0.591292142868042,0.9639358520507812,0.6263457536697388,0.6360646486282349,0.8217039704322815,0.7158079743385315,0.6830761432647705,0.5325252413749695
64,0.9550921320915222,0.6727160215377808,9.999999747378752e-06,0.6016756296157837,0.8664434552192688,0.7367172837257385,0.7415221929550171,0.597294270992279,0.961228609085083,0.6100351214408875,0.6472184658050537,0.785223126411438,0.7256211042404175,0.681174635887146,0.5278807282447815
65,0.9538008570671082,0.6670587062835693,9.999999747378752e-06,0.6107447147369385,0.8572225570678711,0.735180139541626,0.7344094514846802,0.5895222425460815,0.962614893913269,0.6180971264839172,0.6433519124984741,0.7991021871566772,0.7287536263465881,0.6819995641708374,0.5309887528419495
66,0.9536159634590149,0.6696632504463196,9.999999747378752e-06,0.6071822047233582,0.8603291511535645,0.736339271068573,0.7392571568489075,0.5945899486541748,0.9654361009597778,0.6358392834663391,0.6263019442558289,0.841923713684082,0.7143262028694153,0.6895628571510315,0.5402872562408447
67,0.9571024179458618,0.6907888054847717,9.999999747378752e-06,0.5823723673820496,0.8724044561386108,0.7516267895698547,0.7509410977363586,0.6098127961158752,0.9630950689315796,0.618813693523407,0.6445323824882507,0.816384494304657,0.7084185481071472,0.6816303730010986,0.5320984125137329
68,0.9534199833869934,0.6660947203636169,9.999999747378752e-06,0.6132232546806335,0.8602907061576843,0.7330695390701294,0.7365875244140625,0.5916916728019714,0.9607649445533752,0.6051175594329834,0.6535682678222656,0.77983158826828,0.7264134883880615,0.677308201789856,0.5234902501106262
69,0.9535762667655945,0.6671317219734192,9.999999747378752e-06,0.6130934357643127,0.8575463891029358,0.7355654239654541,0.73524409532547,0.5902925729751587,0.9620660543441772,0.6074386835098267,0.6485868692398071,0.8090586066246033,0.7042470574378967,0.6820008754730225,0.5288674831390381
70,0.9544967412948608,0.6743562817573547,9.999999747378752e-06,0.6012609004974365,0.8576090931892395,0.7455294132232666,0.7403417229652405,0.5957754850387573,0.961822509765625,0.6198304295539856,0.6421593427658081,0.7762733101844788,0.7531941533088684,0.6833376288414001,0.5311272144317627
71,0.9579911231994629,0.6964302659034729,9.999999747378752e-06,0.5750788450241089,0.8699575066566467,0.7629916071891785,0.7558367848396301,0.6137201189994812,0.9605157375335693,0.5968006253242493,0.6614354848861694,0.7920389771461487,0.7008193731307983,0.6705223321914673,0.5166239738464355
72,0.9581586122512817,0.6938331127166748,9.999999974752427e-07,0.5747944116592407,0.8743706941604614,0.7549853920936584,0.7577199935913086,0.6176974177360535,0.9618219137191772,0.6171180009841919,0.639350950717926,0.7835785150527954,0.7398406863212585,0.6861555576324463,0.534532904624939
73,0.9572879672050476,0.693880558013916,9.999999974752427e-07,0.5794229507446289,0.8764128088951111,0.7534980773925781,0.7545806765556335,0.6140820384025574,0.9619778394699097,0.6184674501419067,0.6369323134422302,0.783133864402771,0.743858814239502,0.6880757212638855,0.5368565917015076
74,0.9601145386695862,0.7093396186828613,9.999999974752427e-07,0.5568668246269226,0.8814427852630615,0.7696235775947571,0.7674143314361572,0.6291515231132507,0.9627758860588074,0.6241711974143982,0.6306564807891846,0.7917535305023193,0.743553876876831,0.6914119720458984,0.5408815145492554
75,0.953206479549408,0.6694750189781189,9.999999974752427e-07,0.605606198310852,0.8608477711677551,0.7385120391845703,0.7425849437713623,0.5974081754684448,0.9620077610015869,0.6178213953971863,0.6373772621154785,0.7858257293701172,0.7395435571670532,0.6878235340118408,0.5367410182952881
76,0.9589716196060181,0.7053165435791016,9.999999974752427e-07,0.563899576663971,0.8746055960655212,0.7686970829963684,0.7643609642982483,0.6248044371604919,0.9627903699874878,0.6234637498855591,0.6315335035324097,0.793980062007904,0.7401863932609558,0.6905419826507568,0.5398815274238586
77,0.9581093192100525,0.6991211175918579,9.999999974752427e-07,0.5706570744514465,0.8769575357437134,0.7602947354316711,0.7606515288352966,0.6202554702758789,0.9627595543861389,0.6246065497398376,0.6309970617294312,0.7895612120628357,0.7470534443855286,0.6905220150947571,0.5399214029312134
78,0.956240177154541,0.6883559823036194,9.999999974752427e-07,0.5850107669830322,0.8671711683273315,0.7557231783866882,0.7541033029556274,0.6125797629356384,0.9623593091964722,0.6226409077644348,0.6327365636825562,0.7829457521438599,0.7515609264373779,0.6906831860542297,0.5399961471557617
79,0.9585732221603394,0.7006268501281738,9.999999974752427e-07,0.5736414194107056,0.8796241879463196,0.7588998079299927,0.7585361003875732,0.6191022396087646,0.9627615213394165,0.6221591234207153,0.632178783416748,0.7960432767868042,0.7361100316047668,0.690065860748291,0.5394761562347412
